ResponseId,Risk,Intent,Outcome,RandOrder,age,gender,race/eth,DamPre_1,DamPost_1,DRiskCheck,DIntentCheck,DOutcomeCheck,FirePre_1,FirePost_1,FRiskCheck,FIntentCheck,FOutcomeCheck,DamGNG,FireGNG,OverallGNG,DamOutcomeMatch,FireOutcomeMatch
R_2ANLtUrxT5MAX9K,High,Mitigate,Bad,FL_23|FL_17,19,Female,Black/ African American,57,75,1,1,Worst,97,100,1,1,Worst,1,1,1,1,1
R_1cTFs4ufFrxGWXP,High,Mitigate,Bad,FL_23|FL_17,46,Male,"White, not of Hispanic origin",73,62,0,0,Mitigated,71,81,1,0,Worst,0,0,0,0,1
R_bm6rMnp4iJVKnkZ,High,Mitigate,Bad,FL_17|FL_23,19,Female,"South Asian/ Indian,White, not of Hispanic origin",58,19,1,0,Worst,39,24,1,0,Worst,0,0,0,1,1
R_3nGfeqcGkxmNDRW,High,Mitigate,Bad,FL_17|FL_23,31,Male,"White, not of Hispanic origin",41,31,1,1,Worst,30,25,1,1,Worst,1,1,1,1,1
R_ctJ1pqf6rRcNuDL,High,Mitigate,Bad,FL_17|FL_23,28,Male,Hispanic,51,42,1,1,Worst,72,31,1,0,Worst,1,0,0,1,1
R_AnsSHu2nmfS4AiB,High,Mitigate,Bad,FL_17|FL_23,18,Male,"White, not of Hispanic origin",94,17,1,1,Worst,55,37,1,1,Worst,1,1,1,1,1
R_0SyLglcGRWjaKEF,High,Mitigate,Bad,FL_17|FL_23,41,Male,"White, not of Hispanic origin",39,68,1,0,Mitigated,44,65,1,1,Mitigated,0,1,0,0,0
R_2dKgMDRVYvpQmeF,High,Mitigate,Bad,FL_17|FL_23,29,Female,Hispanic,49,8,1,1,Mitigated,76,5,1,0,Worst,1,0,0,0,1
R_2tzl7FNGGwTsZPn,High,Mitigate,Bad,FL_17|FL_23,22,Male,Hispanic,70,29,1,1,Worst,92,39,1,1,Worst,1,1,1,1,1
R_uthdl23DUXY6LkJ,High,Mitigate,Bad,FL_23|FL_17,33,Male,Hispanic,50,8,1,1,Worst,65,28,1,0,Worst,1,0,0,1,1
R_2zN2Lt4HuPn96xr,High,Mitigate,Bad,FL_23|FL_17,24,Female,"White, not of Hispanic origin",61,19,1,0,Worst,19,9,1,1,Worst,0,1,0,1,1
R_1Nz9jXQKhEAjt14,High,Mitigate,Bad,FL_17|FL_23,23,Female,"White, not of Hispanic origin",54,14,1,0,Worst,85,88,1,0,Worst,0,0,0,1,1
R_1yRKP5LDyQPbYpr,High,Mitigate,Bad,FL_17|FL_23,19,Female,"Asian/ Pacific Islander,White, not of Hispanic origin",68,33,1,1,Worst,77,28,1,1,Worst,1,1,1,1,1
R_3nr4a5X0NlGDy71,High,Mitigate,Bad,FL_17|FL_23,30,Male,Asian/ Pacific Islander,49,8,1,0,Worst,19,0,1,0,Worst,0,0,0,1,1
R_3ef6ohU5kX4cuvV,High,Mitigate,Bad,FL_17|FL_23,19,Female,"American Indian/ Alaska Native,Black/ African American,White, not of Hispanic origin",29,6,1,0,Worst,80,9,1,1,Worst,0,1,0,1,1
R_2dmPicKTfXcwWjG,High,Mitigate,Bad,FL_17|FL_23,27,Male,"White, not of Hispanic origin",72,82,1,1,Worst,9,0,1,1,Worst,1,1,1,1,1
R_2CrLYQyTJUog3UO,High,Mitigate,Bad,FL_23|FL_17,31,Male,"White, not of Hispanic origin",69,19,1,1,Worst,92,80,1,1,Worst,1,1,1,1,1
R_WfcEcGxIOuuWFB7,High,Mitigate,Bad,FL_17|FL_23,31,Nonbinary,"White, not of Hispanic origin",73,50,1,1,Worst,0,0,1,0,Worst,1,0,0,1,1
R_3ha0bk2f8jUSdUs,High,Mitigate,Bad,FL_23|FL_17,26,Female,Asian/ Pacific Islander,70,41,1,0,Worst,40,30,1,1,Mitigated,0,1,0,1,0
R_2qDYP4YYJYvo0Yd,High,Mitigate,Bad,FL_23|FL_17,33,Male,Hispanic,44,8,1,1,Worst,36,31,1,0,Mitigated,1,0,0,1,0
R_3fJKJFyqBMzQEo3,High,Mitigate,Bad,FL_17|FL_23,35,Female,"White, not of Hispanic origin",50,0,1,0,Worst,50,0,1,1,Worst,0,1,0,1,1
R_3FOicpCHIRErmRG,High,Prevent,Bad,FL_17|FL_23,39,Male,"White, not of Hispanic origin",52,51,1,1,Worst,4,2,1,1,Worst,1,1,1,1,1
R_787AnnkRcUoK6Z3,High,Prevent,Bad,FL_23|FL_17,50,Male,"White, not of Hispanic origin",20,9,1,1,Worst,40,19,1,1,Worst,1,1,1,1,1
R_2YCWsMlcBg4uhy2,High,Prevent,Bad,FL_23|FL_17,33,Female,"White, not of Hispanic origin",53,51,1,1,Worst,100,100,1,1,Mitigated,1,1,1,1,0
R_1DT3PeihsPf5IER,High,Prevent,Bad,FL_17|FL_23,29,Male,"White, not of Hispanic origin",62,8,1,1,Worst,71,11,1,1,Worst,1,1,1,1,1
R_1Eb6bIl5UgMcb8w,High,Prevent,Bad,FL_17|FL_23,29,Male,"White, not of Hispanic origin",74,10,1,1,Worst,8,7,1,1,Mitigated,1,1,1,1,0
R_3DbwD5jBV0EAvBc,High,Prevent,Bad,FL_23|FL_17,51,Female,"White, not of Hispanic origin",90,59,1,1,Mitigated,96,63,1,1,Worst,1,1,1,0,1
R_2XbShCCofDLoYcG,High,Prevent,Bad,FL_17|FL_23,29,Female,"White, not of Hispanic origin,Hispanic",51,50,1,1,Worst,71,49,1,1,Worst,1,1,1,1,1
R_2Bn839odfCkh6aR,High,Prevent,Bad,FL_17|FL_23,33,Female,"White, not of Hispanic origin,Hispanic",60,18,1,1,Worst,83,100,1,1,Worst,1,1,1,1,1
R_25KtIAmqBuUzIxW,High,Prevent,Bad,FL_17|FL_23,18,Male,"American Indian/ Alaska Native,White, not of Hispanic origin",66,71,1,1,Worst,100,100,1,1,Worst,1,1,1,1,1
R_2CVVTlrjXBkeDDo,High,Prevent,Bad,FL_17|FL_23,37,Male,"White, not of Hispanic origin",58,27,1,1,Worst,69,40,1,1,Worst,1,1,1,1,1
R_vSUoK4BJoLLoHgl,High,Prevent,Bad,FL_23|FL_17,29,Female,"White, not of Hispanic origin",50,9,1,1,Worst,68,47,1,1,Mitigated,1,1,1,1,0
R_pRbrBahbk3fjCql,High,Prevent,Bad,FL_23|FL_17,19,Male,Asian/ Pacific Islander,50,51,1,1,Mitigated,40,18,1,1,Worst,1,1,1,0,1
R_2TBHhfTevyGRPZ0,High,Prevent,Bad,FL_23|FL_17,32,Female,"White, not of Hispanic origin",50,9,1,1,Worst,76,50,1,1,Worst,1,1,1,1,1
R_Q4AwRPd1i5ll9lL,High,Prevent,Bad,FL_17|FL_23,18,Male,"White, not of Hispanic origin",65,78,1,1,Prevented,96,100,1,1,Worst,1,1,1,0,1
R_2Xmm73fg9WmroYK,High,Prevent,Bad,FL_17|FL_23,33,Female,"White, not of Hispanic origin",69,14,1,1,Worst,44,28,1,1,Worst,1,1,1,1,1
R_1k1CsDcuSurVhAj,High,Prevent,Bad,FL_23|FL_17,25,Female,"White, not of Hispanic origin",50,4,1,1,Worst,91,67,1,1,Worst,1,1,1,1,1
R_81fF5RZKTMK8Eed,High,Prevent,Bad,FL_23|FL_17,38,Female,"White, not of Hispanic origin",53,16,1,1,Worst,83,66,1,1,Worst,1,1,1,1,1
R_1psq8LnF8fVlkFq,High,Prevent,Bad,FL_23|FL_17,19,Male,"White, not of Hispanic origin",59,56,1,1,Worst,52,49,1,1,Mitigated,1,1,1,1,0
R_3qPURfPMxhXEkJX,High,Prevent,Bad,FL_17|FL_23,29,Male,"White, not of Hispanic origin",60,29,1,1,Worst,77,66,1,1,Worst,1,1,1,1,1
R_217KDifvZdVc7ps,High,Prevent,Bad,FL_17|FL_23,26,Female,South Asian/ Indian,50,43,1,1,Worst,11,11,1,0,Worst,1,0,0,1,1
R_1CmrRLtzqsQYqkz,High,Prevent,Bad,FL_23|FL_17,28,Female,"White, not of Hispanic origin,Hispanic",88,24,1,1,Worst,82,3,1,1,Worst,1,1,1,1,1
R_XBZ9ToJMeyhrZBf,High,Prevent,Bad,FL_23|FL_17,18,Male,"White, not of Hispanic origin",92,18,1,1,Worst,72,50,1,1,Worst,1,1,1,1,1
R_a4MQFJcRoZOLHhv,High,Prevent,Bad,FL_23|FL_17,24,Female,Black/ African American,60,45,1,1,Worst,90,64,1,0,Worst,1,0,0,1,1
R_2tl1uT29SH2BKdw,High,Prevent,Bad,FL_23|FL_17,48,Nonbinary,"White, not of Hispanic origin",60,37,1,1,Worst,61,50,1,1,Mitigated,1,1,1,1,0
R_xo8X25fOplcIrFn,High,Prevent,Bad,FL_23|FL_17,31,Female,"White, not of Hispanic origin",51,0,1,1,Worst,0,0,1,1,Worst,1,1,1,1,1
R_zVEgTqvMRbR09S9,High,Prevent,Bad,FL_17|FL_23,25,Male,"White, not of Hispanic origin",71,29,1,1,Worst,100,100,1,0,Worst,1,0,0,1,1
R_1jUEKNnZ8YmNcc1,High,Prevent,Bad,FL_23|FL_17,39,Male,Asian/ Pacific Islander,50,30,1,1,Worst,30,20,1,1,Worst,1,1,1,1,1
R_3I67ZnPhik9CdTn,High,Prevent,Bad,FL_17|FL_23,29,Female,Black/ African American,52,30,1,1,Worst,92,91,1,1,Worst,1,1,1,1,1
R_2yqG84w9YbvuSdK,High,Prevent,Bad,FL_17|FL_23,23,Male,"White, not of Hispanic origin",82,50,1,1,Mitigated,100,93,1,1,Mitigated,1,1,1,0,0
R_tXLlCzCJFxnsc8x,High,Prevent,Bad,FL_23|FL_17,20,Male,"White, not of Hispanic origin",76,51,1,1,Worst,60,41,1,1,Worst,1,1,1,1,1
R_2wSI6R8MSVhjful,High,Prevent,Bad,FL_17|FL_23,23,Female,"White, not of Hispanic origin",50,40,1,1,Worst,50,12,1,1,Worst,1,1,1,1,1
R_wNJqoRxCTSSoNBn,High,Prevent,Bad,FL_23|FL_17,29,Male,"White, not of Hispanic origin",59,34,1,1,Worst,66,66,1,1,Worst,1,1,1,1,1
R_10xaMgQNEyicY6p,High,Prevent,Bad,FL_23|FL_17,38,Male,0,50,50,1,1,Worst,71,19,1,1,Worst,1,1,1,1,1
R_2TnMW7VqAFjMJX8,High,Prevent,Bad,FL_17|FL_23,59,Female,"White, not of Hispanic origin",50,0,1,1,Worst,0,0,1,1,Worst,1,1,1,1,1
R_5nnLA5lB0JddyDL,High,Prevent,Bad,FL_17|FL_23,26,Male,"White, not of Hispanic origin",61,9,1,1,Worst,61,5,1,1,Worst,1,1,1,1,1
R_2CTgt4tQRPH48mC,High,Prevent,Bad,FL_17|FL_23,19,Female,Other (please specify),78,0,1,1,Worst,82,26,1,1,Worst,1,1,1,1,1
R_PZqJ8QV07CkKrC1,High,Prevent,Bad,FL_23|FL_17,33,Male,"White, not of Hispanic origin",30,9,1,1,Worst,65,50,1,1,Worst,1,1,1,1,1
R_3HiDEXm1c8NAHgC,High,Prevent,Bad,FL_17|FL_23,0,Male,0,49,14,1,1,Worst,53,32,1,1,Worst,1,1,1,1,1
R_30tKLtBKTlJYqR6,High,Prevent,Bad,FL_17|FL_23,19,Female,"Black/ African American,White, not of Hispanic origin",61,86,1,1,Worst,51,61,0,1,Mitigated,1,0,0,1,0
R_3lL0dpO1c5QzBO7,High,Prevent,Bad,FL_23|FL_17,19,Male,Asian/ Pacific Islander,85,84,1,1,Worst,60,62,1,0,Prevented,1,0,0,1,0
R_1pzGGLprgJhdHCC,High,Mitigate,Good,FL_23|FL_17,18,Female,Asian/ Pacific Islander,65,50,1,0,Mitigated,81,50,1,0,Mitigated,0,0,0,1,1
R_3F2JB6GcdX9ynLK,High,Mitigate,Good,FL_23|FL_17,19,Male,Asian/ Pacific Islander,50,51,1,1,Mitigated,9,51,1,1,Mitigated,1,1,1,1,1
R_31hIxAVRur5qy0E,High,Mitigate,Good,FL_23|FL_17,27,Female,"White, not of Hispanic origin",54,50,1,1,Mitigated,87,67,1,1,Mitigated,1,1,1,1,1
R_22Qv2bGwFnJ27Wc,High,Mitigate,Good,FL_23|FL_17,20,Female,"Asian/ Pacific Islander,White, not of Hispanic origin",51,51,1,0,Mitigated,63,50,1,0,Mitigated,0,0,0,1,1
R_PtY1sRfJLJpJDRT,High,Mitigate,Good,FL_17|FL_23,26,Male,"White, not of Hispanic origin",40,51,1,1,Mitigated,73,72,1,1,Mitigated,1,1,1,1,1
R_2R82U6EQFSudh9I,High,Mitigate,Good,FL_23|FL_17,33,Male,"White, not of Hispanic origin",27,39,1,0,Mitigated,28,59,1,1,Mitigated,0,1,0,1,1
R_1NxEmCg8GzZCMEQ,High,Mitigate,Good,FL_23|FL_17,23,Female,Black/ African American,60,50,1,1,Mitigated,64,64,1,1,Mitigated,1,1,1,1,1
R_2fvOrukJqWTKsnL,High,Mitigate,Good,FL_17|FL_23,49,Male,"White, not of Hispanic origin",81,66,0,0,Mitigated,64,61,0,1,Mitigated,0,0,0,1,1
R_1F5IFBuOqtsRYow,High,Mitigate,Good,FL_23|FL_17,39,Male,Asian/ Pacific Islander,100,100,1,0,Mitigated,100,100,1,0,Mitigated,0,0,0,1,1
R_2BgpgqrCeswhnMh,High,Mitigate,Good,FL_17|FL_23,18,Male,Black/ African American,76,49,1,1,Mitigated,95,69,1,1,Mitigated,1,1,1,1,1
R_1l62cEhW5Hnj0J0,High,Mitigate,Good,FL_17|FL_23,18,Male,South Asian/ Indian,66,72,0,0,Mitigated,61,37,1,0,Mitigated,0,0,0,1,1
R_27eYa5OahTEyhH7,High,Mitigate,Good,FL_23|FL_17,25,Female,"White, not of Hispanic origin",62,52,1,1,Mitigated,87,81,1,1,Mitigated,1,1,1,1,1
R_3MQAKBFecVOevz8,High,Mitigate,Good,FL_23|FL_17,36,Male,"White, not of Hispanic origin",76,54,1,1,Mitigated,82,65,1,1,Mitigated,1,1,1,1,1
R_1gT3Lbw7DZPrvgg,High,Mitigate,Good,FL_23|FL_17,28,Female,"White, not of Hispanic origin",50,61,1,0,Mitigated,91,91,1,1,Mitigated,0,1,0,1,1
R_1Dv6oS43VseiGpT,High,Mitigate,Good,FL_17|FL_23,25,Female,"White, not of Hispanic origin",52,51,1,1,Mitigated,69,53,1,1,Mitigated,1,1,1,1,1
R_BK8bIO8jGYHQ67n,High,Mitigate,Good,FL_17|FL_23,22,Female,Black/ African American,54,71,1,1,Mitigated,8,32,1,0,Mitigated,1,0,0,1,1
R_3ptEOUSE3W9xWWT,High,Mitigate,Good,FL_17|FL_23,21,Male,Asian/ Pacific Islander,71,71,1,1,Mitigated,50,55,1,1,Mitigated,1,1,1,1,1
R_2zOL3aA8YM12tDj,High,Mitigate,Good,FL_17|FL_23,36,Male,Asian/ Pacific Islander,51,51,1,0,Mitigated,19,31,1,1,Prevented,0,1,0,1,0
R_WdOtHdv9cWs3OjD,High,Mitigate,Good,FL_17|FL_23,28,Female,"American Indian/ Alaska Native,White, not of Hispanic origin,Hispanic",50,51,1,1,Mitigated,1,9,1,1,Mitigated,1,1,1,1,1
R_3RqsL0wa9z0ulLW,High,Mitigate,Good,FL_17|FL_23,42,Male,"White, not of Hispanic origin",45,51,1,1,Mitigated,23,33,1,1,Prevented,1,1,1,1,0
R_3nd5rkaaszuqmAF,High,Mitigate,Good,FL_23|FL_17,32,Male,"White, not of Hispanic origin",78,48,1,1,Mitigated,65,49,1,0,Mitigated,1,0,0,1,1
R_3nrbusWg6iij1vm,High,Mitigate,Good,FL_17|FL_23,25,Female,"White, not of Hispanic origin",21,49,1,1,Mitigated,12,25,1,1,Mitigated,1,1,1,1,1
R_28AoTaeNNT3Y1zO,High,Mitigate,Good,FL_23|FL_17,27,Male,"White, not of Hispanic origin",50,50,1,0,Mitigated,60,61,1,1,Mitigated,0,1,0,1,1
R_WidZkmlG9TcANvH,High,Mitigate,Good,FL_23|FL_17,33,Female,"White, not of Hispanic origin",50,51,1,1,Mitigated,30,50,1,1,Mitigated,1,1,1,1,1
R_3eaI0gvkgKhrYUq,High,Mitigate,Good,FL_17|FL_23,26,Female,Asian/ Pacific Islander,74,60,1,0,Mitigated,72,61,1,1,Mitigated,0,1,0,1,1
R_3e8rFLxuxVoDLAB,High,Mitigate,Good,FL_23|FL_17,24,Male,Black/ African American,81,50,1,1,Mitigated,100,81,1,1,Mitigated,1,1,1,1,1
R_3m2AxDDyXzicXDg,High,Mitigate,Good,FL_23|FL_17,30,Female,"White, not of Hispanic origin",46,51,1,1,Mitigated,51,52,1,1,Mitigated,1,1,1,1,1
R_ZlNCVaknMNj1NxD,High,Mitigate,Good,FL_23|FL_17,52,Female,"White, not of Hispanic origin",65,50,1,1,Mitigated,81,61,1,1,Mitigated,1,1,1,1,1
R_AifGCQs7RxvawzT,High,Mitigate,Good,FL_23|FL_17,25,Male,"White, not of Hispanic origin",50,51,0,1,Mitigated,50,50,1,1,Prevented,0,1,0,1,0
R_3ffaKq5gj3iNt74,High,Mitigate,Good,FL_17|FL_23,30,Female,Black/ African American,100,48,1,0,Mitigated,100,80,1,1,Mitigated,0,1,0,1,1
R_24bAmazo50geAVS,High,Mitigate,Good,FL_17|FL_23,18,Female,"White, not of Hispanic origin",70,51,1,1,Mitigated,21,24,1,1,Mitigated,1,1,1,1,1
R_3k7LpVXaFzFzLEk,High,Mitigate,Good,FL_23|FL_17,23,Male,Asian/ Pacific Islander,20,29,1,0,Mitigated,71,40,0,1,Mitigated,0,0,0,1,1
R_1FQfsQFQe1ckqk8,High,Mitigate,Good,FL_23|FL_17,25,Male,Asian/ Pacific Islander,70,50,1,1,Mitigated,20,20,1,1,Mitigated,1,1,1,1,1
R_12hxV1yQDsHeJ4U,High,Mitigate,Good,FL_17|FL_23,34,Male,Asian/ Pacific Islander,50,40,1,1,Mitigated,66,50,1,1,Mitigated,1,1,1,1,1
R_2TyCnsRRd4NpSKX,High,Mitigate,Good,FL_17|FL_23,24,Male,"White, not of Hispanic origin",71,81,1,1,Mitigated,51,60,1,1,Mitigated,1,1,1,1,1
R_1JPnjwxPyrSgS7N,High,Mitigate,Good,FL_23|FL_17,20,Female,Hispanic,52,50,1,1,Mitigated,100,65,1,1,Mitigated,1,1,1,1,1
R_1j8nHmtbOGIGlhC,High,Mitigate,Good,FL_17|FL_23,40,Male,Black/ African American,51,50,1,1,Mitigated,50,50,1,1,Mitigated,1,1,1,1,1
R_PGuG2QePbe1YHBv,High,Mitigate,Good,FL_23|FL_17,43,Male,"White, not of Hispanic origin",74,78,1,0,Prevented,75,75,1,0,Prevented,0,0,0,0,0
R_30kGqkUgPgOLj3E,High,Mitigate,Good,FL_17|FL_23,23,Male,"White, not of Hispanic origin",54,50,1,1,Mitigated,71,56,1,1,Mitigated,1,1,1,1,1
R_3kdhAjEKWmLMpPb,High,Mitigate,Good,FL_17|FL_23,24,Female,"White, not of Hispanic origin",46,48,1,1,Mitigated,24,29,1,1,Mitigated,1,1,1,1,1
R_eFJzInyYbnfMTKx,High,Mitigate,Good,FL_23|FL_17,32,Male,"White, not of Hispanic origin",50,50,1,1,Mitigated,91,48,1,1,Mitigated,1,1,1,1,1
R_1MPThQJ9Za8nfug,High,Prevent,Good,FL_17|FL_23,25,Male,"White, not of Hispanic origin",65,50,1,1,Prevented,100,81,1,1,Prevented,1,1,1,1,1
R_1eISFhFzJfFTMOi,High,Prevent,Good,FL_17|FL_23,44,Female,"White, not of Hispanic origin",81,62,1,1,Prevented,86,70,1,1,Prevented,1,1,1,1,1
R_3DeuLWhhAbhmhzP,High,Prevent,Good,FL_17|FL_23,21,Female,"White, not of Hispanic origin",71,69,1,1,Prevented,70,74,1,1,Prevented,1,1,1,1,1
R_1E4ltF2h5ahkxrc,High,Prevent,Good,FL_23|FL_17,60,Male,"White, not of Hispanic origin",62,47,1,1,Prevented,100,40,1,1,Prevented,1,1,1,1,1
R_1dnyBlzgvLcmMxq,High,Prevent,Good,FL_17|FL_23,32,Male,"White, not of Hispanic origin",50,50,1,0,Prevented,100,100,1,1,Prevented,0,1,0,1,1
R_NUzAJRmZtGbYGD7,High,Prevent,Good,FL_17|FL_23,29,Male,Asian/ Pacific Islander,50,49,1,1,Prevented,77,78,1,1,Prevented,1,1,1,1,1
R_2uHsomI2sIumKAQ,High,Prevent,Good,FL_17|FL_23,25,Male,"White, not of Hispanic origin",60,50,1,1,Prevented,93,70,1,1,Prevented,1,1,1,1,1
R_2Qhyfk11AWh3P1a,High,Prevent,Good,FL_23|FL_17,22,Female,Hispanic,62,66,1,1,Prevented,2,1,1,1,Prevented,1,1,1,1,1
R_a2whnlhllhTvfpf,High,Prevent,Good,FL_17|FL_23,23,Female,"White, not of Hispanic origin",65,65,1,1,Prevented,81,81,1,1,Prevented,1,1,1,1,1
R_3CZ1vjX5jjlkJcM,High,Prevent,Good,FL_23|FL_17,35,Male,"White, not of Hispanic origin",51,50,1,1,Prevented,70,70,1,1,Prevented,1,1,1,1,1
R_3ezwPmLdrhQ2OPj,High,Prevent,Good,FL_17|FL_23,26,Male,Asian/ Pacific Islander,57,50,1,0,Prevented,66,61,1,1,Prevented,0,1,0,1,1
R_1eP4fXOeK5slHBS,High,Prevent,Good,FL_23|FL_17,20,Male,Asian/ Pacific Islander,9,10,1,1,Prevented,52,30,1,1,Prevented,1,1,1,1,1
R_0ogKO8u9t3HnCz7,High,Prevent,Good,FL_23|FL_17,33,Male,Asian/ Pacific Islander,61,60,1,1,Prevented,30,99,1,0,Prevented,1,0,0,1,1
R_O7HpgoiklxoUCZP,High,Prevent,Good,FL_23|FL_17,30,Female,"Asian/ Pacific Islander,White, not of Hispanic origin",70,50,1,1,Prevented,0,9,1,1,Prevented,1,1,1,1,1
R_2uVgI7JkIlgFTEQ,High,Prevent,Good,FL_17|FL_23,39,Male,"White, not of Hispanic origin",92,92,1,1,Prevented,61,62,1,1,Prevented,1,1,1,1,1
R_p9sOxQmv1yc5O6t,High,Prevent,Good,FL_17|FL_23,59,Female,"White, not of Hispanic origin",50,50,1,1,Prevented,81,61,1,1,Mitigated,1,1,1,1,0
R_2bZmndWAMleKPwl,High,Prevent,Good,FL_23|FL_17,28,Male,"White, not of Hispanic origin",50,51,1,1,Prevented,19,49,1,1,Prevented,1,1,1,1,1
R_3hn0eREfwyFsVPd,High,Prevent,Good,FL_23|FL_17,0,0,0,60,51,1,1,Prevented,91,50,1,0,Prevented,1,0,0,1,1
R_Uh92mU0hsjf7Lsl,High,Prevent,Good,FL_17|FL_23,23,Female,"White, not of Hispanic origin",51,51,1,1,Prevented,82,70,1,1,Prevented,1,1,1,1,1
R_3n6FGTn30lqJnk0,High,Prevent,Good,FL_23|FL_17,0,0,0,93,91,1,1,Prevented,76,62,1,1,Prevented,1,1,1,1,1
R_2eVVA0njf9dUhLQ,High,Prevent,Good,FL_23|FL_17,22,Male,"White, not of Hispanic origin",50,50,1,1,Prevented,71,60,1,1,Prevented,1,1,1,1,1
R_2AKEnz02gB0qeFP,High,Prevent,Good,FL_23|FL_17,20,Male,"White, not of Hispanic origin",51,51,1,1,Prevented,75,50,1,1,Prevented,1,1,1,1,1
R_2qxTV3DhelushjL,High,Prevent,Good,FL_17|FL_23,30,Male,"White, not of Hispanic origin",51,62,1,1,Prevented,38,62,1,1,Prevented,1,1,1,1,1
R_3MfZdbyootPZtIs,High,Prevent,Good,FL_17|FL_23,19,Female,"White, not of Hispanic origin",76,50,1,1,Prevented,66,66,1,1,Prevented,1,1,1,1,1
R_248KLgTUnogwLUm,High,Prevent,Good,FL_23|FL_17,24,Male,Hispanic,50,50,1,1,Prevented,100,75,1,1,Prevented,1,1,1,1,1
R_1DMTTUBKjLWl9IY,High,Prevent,Good,FL_17|FL_23,29,Male,"White, not of Hispanic origin",69,33,1,1,Prevented,53,46,1,1,Prevented,1,1,1,1,1
R_2xwPN0rTDQ4UamA,High,Prevent,Good,FL_23|FL_17,18,Female,Asian/ Pacific Islander,57,50,1,1,Prevented,17,29,1,1,Prevented,1,1,1,1,1
R_1n31pJOU2sxNbMg,High,Prevent,Good,FL_23|FL_17,24,Male,"White, not of Hispanic origin",51,52,1,1,Prevented,54,49,1,0,Prevented,1,0,0,1,1
