ResponseId,Risk,Outcome,Causal,RandOrder,age,gender,race/eth,DamPre_1,DamPost_1,DRiskCheck,DOutcomeCheck,DCauseExploratory,FirePre_1,FirePost_1,FireRiskCheck,FireOutcomeCheck,FireCauseExp,DamGNG,FireGNG,OverallGNG,DamCauseMatch,FireCauseMatch,FireOutcome2
R_5iFbo0QlwhYti3T,High,Good,Causal,FL_12,37,Female,"White, not of Hispanic origin",50,51,1,1,Yes,70,70,1,1,Not sure,1,1,1,1,0,1
R_1IzJoW3fmRDEKUp,High,Good,NC,FL_13,55,Male,"White, not of Hispanic origin",55,51,1,1,No,55,50,1,1,Not sure,1,1,1,1,0,1
R_2cknAKXrrw0x8sr,High,Bad,NC,FL_15,31,Nonbinary,"White, not of Hispanic origin",49,50,1,1,No,69,80,1,1,No,1,1,1,1,1,1
R_2e59bpgov7HaLVe,Low,Good,NC,FL_9,21,Female,Hispanic,97,100,1,1,No,100,74,1,1,Not sure,1,1,1,1,0,1
R_123YbTJTbufr782,High,Bad,Causal,FL_14,34,Male,"White, not of Hispanic origin",57,4,1,1,Yes,42,8,1,1,Yes,1,1,1,1,1,1
R_2q2xN1XF0mpOExn,High,Good,NC,FL_13,21,Male,"White, not of Hispanic origin",71,79,1,1,Not sure,77,77,1,1,Yes,1,1,1,0,0,1
R_2WMsMENT3jWaxqa,Low,Bad,NC,FL_11,25,Female,"White, not of Hispanic origin",93,94,0,1,Not sure,82,2,0,1,No,0,0,0,0,1,1
R_4MzlaeCj4wrkUBb,Low,Good,Causal,FL_8,25,Male,"White, not of Hispanic origin",92,50,1,1,Yes,100,80,0,1,No,1,0,0,1,0,1
R_006rmJGDPqr5bA5,Low,Good,NC,FL_9,38,Male,"White, not of Hispanic origin",81,72,0,1,Yes,71,78,0,0,Yes,0,0,0,0,0,0
R_2ZCEUv589a4sokv,High,Bad,NC,FL_15,37,Male,"White, not of Hispanic origin,Hispanic",50,11,1,1,No,29,9,1,1,No,1,1,1,1,1,1
R_1DIrk8HdqJZkjF6,High,Bad,NC,FL_15,31,Male,"White, not of Hispanic origin",46,48,1,1,No,26,29,1,1,No,1,1,1,1,1,1
R_6fZac1MMD4XXPPP,Low,Bad,Causal,FL_10,59,Female,Asian/ Pacific Islander,80,91,1,0,Yes,29,50,1,1,Not sure,0,1,0,1,0,1
R_2YtDY8vK0EOGGV6,High,Bad,NC,FL_15,41,Male,"White, not of Hispanic origin",52,25,1,1,No,49,54,1,1,Yes,1,1,1,1,0,1
R_Q3MtXRFwfbj7xn3,Low,Bad,NC,FL_11,23,Female,"Asian/ Pacific Islander,White, not of Hispanic origin",30,30,1,1,No,81,82,1,0,No,1,0,0,1,1,1
R_5nWWSFE7k3jp7QR,High,Bad,Causal,FL_14,22,Male,Hispanic,40,19,1,1,Not sure,50,71,1,1,Not sure,1,1,1,0,0,1
R_cUCloZN3eAukZrP,Low,Bad,Causal,FL_10,32,Nonbinary,"White, not of Hispanic origin",82,92,1,1,Not sure,50,50,1,1,Not sure,1,1,1,0,0,1
R_2zAuYrD98Uho4aV,High,Good,Causal,FL_12,34,Female,"White, not of Hispanic origin",50,50,1,1,Yes,71,71,1,1,Yes,1,1,1,1,1,1
R_sMwgcYMTveLnaiR,Low,Good,Causal,FL_8,25,Female,"White, not of Hispanic origin",33,95,1,1,Yes,65,65,0,1,Yes,1,0,0,1,1,1
R_9EmN9hFlckkmIhj,High,Good,NC,FL_13,20,Female,Asian/ Pacific Islander,71,76,1,1,Yes,75,86,1,1,Not sure,1,1,1,0,0,1
R_1pY80eaLTEjhzjJ,High,Good,Causal,FL_12,45,Female,"White, not of Hispanic origin",47,50,1,1,Yes,82,61,1,1,Yes,1,1,1,1,1,1
R_2Yr1iBoEnmGEuCm,High,Good,NC,FL_13,47,Female,"White, not of Hispanic origin",50,50,0,1,Not sure,81,61,1,1,Not sure,0,1,0,0,0,1
R_1I5loeokqap6TSe,Low,Bad,NC,FL_11,44,Female,"White, not of Hispanic origin",94,28,1,1,Not sure,91,95,1,1,No,1,1,1,0,1,1
R_2rJBucigxXlCgvm,Low,Good,NC,FL_9,28,Male,"White, not of Hispanic origin",100,100,1,1,Yes,8,91,1,1,Not sure,1,1,1,0,0,1
R_3nSoHlFi6k6KbyS,High,Good,Causal,FL_12,42,Female,"White, not of Hispanic origin",81,49,1,1,Yes,67,61,1,1,Yes,1,1,1,1,1,1
R_2wAn18PUC8yd8oY,Low,Bad,Causal,FL_10,29,Female,"White, not of Hispanic origin",81,76,1,1,Yes,61,40,1,1,Not sure,1,1,1,1,0,1
R_BQdi7D23IhsB4Tn,Low,Good,NC,FL_9,24,Female,"White, not of Hispanic origin",81,85,1,1,No,82,46,1,1,Yes,1,1,1,1,0,1
R_3NRiVlg16PqVcdr,High,Bad,NC,FL_15,38,Female,Asian/ Pacific Islander,58,50,1,1,Not sure,71,72,1,1,No,1,1,1,0,1,1
R_BKUh57Xpin5SWIx,Low,Good,NC,FL_9,43,Male,"White, not of Hispanic origin",100,100,1,1,No,60,50,1,1,Not sure,1,1,1,1,0,1
R_2sZ556fb2Vie8Ip,Low,Bad,Causal,FL_10,34,Male,"White, not of Hispanic origin",81,81,1,1,Yes,86,76,1,1,Yes,1,1,1,1,1,1
R_2y1IfUA88avJoCB,Low,Bad,NC,FL_11,27,Male,Asian/ Pacific Islander,81,72,1,1,Not sure,61,49,1,1,Not sure,1,1,1,0,0,1
R_2rHO8KLOGA8mfDV,High,Bad,NC,FL_15,42,Male,"White, not of Hispanic origin",59,44,1,1,No,90,81,1,0,Yes,1,0,0,1,0,1
R_26niQW87e5AD9OM,High,Bad,Causal,FL_14,34,Female,"Asian/ Pacific Islander,White, not of Hispanic origin",66,39,1,1,Yes,55,11,1,1,Yes,1,1,1,1,1,1
R_9HbNwZR5xXkYlyx,High,Bad,Causal,FL_14,31,Male,"White, not of Hispanic origin",58,67,1,1,Not sure,0,0,1,1,No,1,1,1,0,0,1
R_29jnDPMOsjtVmah,Low,Good,Causal,FL_8,67,Female,"White, not of Hispanic origin",72,51,1,1,Yes,49,52,1,1,Yes,1,1,1,1,1,1
R_2QALB3A03Xy6WT4,Low,Bad,Causal,FL_10,38,Female,Black/ African American,93,44,1,1,Not sure,70,51,0,1,Not sure,1,0,0,0,0,1
R_3QWYVB3WCx5DkET,High,Good,NC,FL_13,24,Male,"White, not of Hispanic origin,Hispanic",42,36,1,1,No,22,81,1,1,No,1,1,1,1,1,1
R_ufsqT7YDax66lW1,Low,Good,Causal,FL_8,24,Female,Black/ African American,63,50,1,1,Yes,31,53,1,1,Yes,1,1,1,1,1,1
R_2XoLL3cD4Pd8STD,High,Bad,Causal,FL_14,35,Male,"White, not of Hispanic origin",52,59,1,1,No,60,64,1,1,No,1,1,1,0,0,1
R_8kmHc16zeY3jSal,High,Bad,Causal,FL_14,21,Female,Hispanic,30,30,1,1,No,79,70,1,0,Yes,1,0,0,0,1,1
R_1Ke6wUbZHVwVIBZ,High,Bad,NC,FL_15,32,Male,"White, not of Hispanic origin",50,51,0,1,No,70,71,1,1,No,0,1,0,1,1,1
R_3lVWGGG7s0j4GN4,High,Good,NC,FL_13,28,Female,"White, not of Hispanic origin",54,52,1,1,No,58,61,1,0,Not sure,1,0,0,1,0,0
R_2yqt1yi0dS0NmWW,High,Good,Causal,FL_12,61,Male,Asian/ Pacific Islander,82,81,1,1,Yes,65,76,1,0,Yes,1,0,0,1,1,0
R_30oyyWhcSTdc22z,High,Good,Causal,FL_12,34,Male,"White, not of Hispanic origin",51,49,1,1,Yes,60,50,1,1,Yes,1,1,1,1,1,1
R_xFx3oEHkyEQSnJv,High,Good,NC,FL_13,40,Male,"Asian/ Pacific Islander,Hispanic",73,82,1,1,No,30,51,1,1,No,1,1,1,1,1,1
R_3QRZMn0ywlDt0aF,High,Good,Causal,FL_12,28,Female,"White, not of Hispanic origin",61,51,1,1,Yes,72,61,1,1,Yes,1,1,1,1,1,1
R_cUPQZbI6AoxtfoZ,Low,Bad,Causal,FL_10,43,Female,"White, not of Hispanic origin,Hispanic",51,52,1,1,No,77,100,1,1,No,1,1,1,0,0,1
R_3FInS88epMyAZHp,Low,Good,NC,FL_9,39,Male,"White, not of Hispanic origin",29,81,1,1,No,50,81,1,1,Yes,1,1,1,1,0,1
R_eqYUHayGKfyq1Lr,Low,Good,Causal,FL_8,43,Female,"White, not of Hispanic origin",100,50,1,1,Yes,70,50,0,1,Yes,1,0,0,1,1,1
R_AajLQpSlnc0ijNn,Low,Good,NC,FL_9,27,Male,"White, not of Hispanic origin",65,93,1,1,No,80,73,1,1,No,1,1,1,1,1,1
R_UygyWDKjBkfcjm1,High,Bad,NC,FL_15,33,Female,"White, not of Hispanic origin",71,8,1,1,Not sure,82,49,1,1,Yes,1,1,1,0,0,1
R_Og9qbNABx2Bodhf,Low,Bad,NC,FL_11,26,Female,"White, not of Hispanic origin",100,71,1,1,Yes,71,81,1,0,No,1,0,0,0,1,1
R_2b470NEmGor54NR,High,Good,Causal,FL_12,31,Female,"White, not of Hispanic origin",60,50,1,1,Yes,59,54,1,1,Yes,1,1,1,1,1,1
R_3JyEZlv8YpQoweF,Low,Bad,Causal,FL_10,27,Female,Hispanic,50,50,1,1,No,38,37,1,1,Not sure,1,1,1,0,0,1
R_1gjzKMDR3H4TyJ2,Low,Bad,NC,FL_11,36,Male,"White, not of Hispanic origin",100,100,1,1,Yes,2,1,1,1,No,1,1,1,0,1,1
R_dhzaTtq3ENjLXuF,Low,Good,NC,FL_9,45,Male,"White, not of Hispanic origin",78,86,0,0,Yes,80,85,0,0,Yes,0,0,0,0,0,0
R_3s4AjaSdFdHHG5L,High,Bad,Causal,FL_14,36,Female,"White, not of Hispanic origin",51,50,1,1,No,76,57,1,1,No,1,1,1,0,0,1
R_1CjT6reGXNPVO0p,High,Bad,Causal,FL_14,29,Male,"White, not of Hispanic origin",64,14,1,1,Yes,60,41,1,1,Yes,1,1,1,1,1,1
R_1DIlmyQfYzwnwRH,Low,Bad,NC,FL_11,56,Male,Black/ African American,60,51,1,1,Not sure,81,82,1,1,No,1,1,1,0,1,1
R_1FDoQ2Ei4ygHmIl,High,Good,NC,FL_13,34,Male,"White, not of Hispanic origin",31,50,1,1,No,55,91,1,1,No,1,1,1,1,1,1
R_2wczLWfRfuQ1RdK,High,Bad,Causal,FL_14,37,Male,"White, not of Hispanic origin",61,20,1,1,No,71,81,1,1,No,1,1,1,0,0,1
R_3GkC7GwutHqcjFj,Low,Bad,NC,FL_11,56,Male,"White, not of Hispanic origin",100,81,1,1,No,82,76,1,1,No,1,1,1,1,1,1
R_2c1P1xcBTa1azBP,Low,Good,Causal,FL_8,26,Female,"White, not of Hispanic origin",80,51,0,1,Yes,60,48,0,0,Yes,0,0,0,1,1,0
R_2AQDLOSoNiSOE7x,High,Bad,NC,FL_15,32,Male,"White, not of Hispanic origin",50,41,1,1,Not sure,64,66,1,1,No,1,1,1,0,1,1
R_1Kr0P4ycRhJAwNK,High,Good,NC,FL_13,57,Male,"White, not of Hispanic origin",51,51,1,1,Yes,71,71,1,1,No,1,1,1,0,1,1
R_1QsWjnCvjafmkau,High,Good,NC,FL_13,28,Male,"White, not of Hispanic origin",49,62,1,1,No,70,76,1,1,No,1,1,1,1,1,1
R_2ZNQyNUxhR3hoBd,High,Good,Causal,FL_12,32,Male,"White, not of Hispanic origin",51,50,1,1,Yes,93,92,1,1,Yes,1,1,1,1,1,1
R_1oqoCzTVCEEd7qu,Low,Bad,NC,FL_11,26,Male,"White, not of Hispanic origin,Hispanic",50,49,1,1,No,85,61,1,1,No,1,1,1,1,1,1
R_1hMy3UAJVK2OP1t,High,Bad,Causal,FL_14,46,Male,"White, not of Hispanic origin",72,19,1,1,Not sure,50,35,1,1,Not sure,1,1,1,0,0,1
R_20MtMnGpjcR0Wg0,Low,Good,NC,FL_9,35,Male,"White, not of Hispanic origin",71,71,1,1,No,55,75,1,1,No,1,1,1,1,1,1
R_3F4ADiGUxAYTBDP,Low,Bad,Causal,FL_10,44,Male,"White, not of Hispanic origin",51,51,1,1,No,56,76,1,0,No,1,0,0,0,0,1
R_2QYW6ogCRwF4vKc,Low,Good,Causal,FL_8,23,Male,South Asian/ Indian,79,53,1,1,Yes,39,53,1,1,Not sure,1,1,1,1,0,1
R_1pstkYg39wInw2R,Low,Bad,Causal,FL_10,39,Male,Black/ African American,100,0,1,1,Yes,49,50,1,1,No,1,1,1,1,0,1
R_TnraIPQDVEVsoDL,High,Good,NC,FL_13,72,Female,Other (please specify),50,72,1,1,Yes,71,91,1,1,Yes,1,1,1,0,0,1
R_z1EnTEdCfjOC1pf,Low,Bad,Causal,FL_10,29,Male,"White, not of Hispanic origin",75,88,1,1,Yes,71,28,1,1,No,1,1,1,1,0,1
R_vZeVG4Bs8TIxn0Z,High,Bad,Causal,FL_14,40,Male,"White, not of Hispanic origin",60,70,1,0,Yes,71,81,1,1,Yes,0,1,0,1,1,1
R_Rf49R5hXomaqDOF,Low,Bad,Causal,FL_10,42,Female,"White, not of Hispanic origin",70,73,0,1,Yes,76,68,0,1,Yes,0,0,0,1,1,1
R_1M6Z0wy0w31DAxZ,High,Bad,NC,FL_15,25,Female,South Asian/ Indian,50,48,1,1,No,67,69,1,1,No,1,1,1,1,1,1
R_1QLpopOe6pzLnap,Low,Good,Causal,FL_8,35,Female,"White, not of Hispanic origin",82,50,1,1,Yes,78,51,0,1,Yes,1,0,0,1,1,1
R_SJnavwFzUujzl9n,Low,Good,Causal,FL_8,23,Female,"White, not of Hispanic origin",69,49,1,1,Yes,62,55,1,1,Yes,1,1,1,1,1,1
R_BLh928CeY8MHTJ7,High,Good,Causal,FL_12,26,Nonbinary,"White, not of Hispanic origin",62,83,1,1,Yes,92,72,1,1,Yes,1,1,1,1,1,1
R_6s6iuvwMNQgONuV,High,Good,NC,FL_13,20,Female,"White, not of Hispanic origin",49,45,1,1,No,16,90,1,1,Not sure,1,1,1,1,0,1
R_12nlDSDTXSPxPK6,High,Bad,NC,FL_15,45,Female,"White, not of Hispanic origin",50,50,1,1,Not sure,80,94,1,1,No,1,1,1,0,1,1
R_2uyM8rWOueTaZyP,Low,Good,Causal,FL_8,25,Male,Black/ African American,60,69,0,1,Yes,18,76,0,0,Not sure,0,0,0,1,0,0
R_3HZAUYdC8RAKYWw,Low,Good,NC,FL_9,27,Female,Asian/ Pacific Islander,78,59,0,1,Not sure,99,49,0,1,Not sure,0,0,0,0,0,1
R_1o5YvjGzANYYiwk,High,Good,Causal,FL_12,42,Male,"White, not of Hispanic origin",50,49,1,1,No,71,52,1,1,No,1,1,1,0,0,1
R_bKKxo2bRHkLwB8Z,Low,Good,NC,FL_9,49,Male,Black/ African American,95,95,1,1,No,67,71,1,1,No,1,1,1,1,1,1
R_vPilUFwN8Y4a7mh,High,Good,Causal,FL_12,34,Male,"White, not of Hispanic origin",50,50,1,1,Yes,70,50,1,1,Yes,1,1,1,1,1,1
R_2WMuMXNsoSafc5Y,High,Bad,NC,FL_15,37,Male,"White, not of Hispanic origin",74,66,1,0,Yes,70,69,1,1,Yes,0,1,0,0,0,1
R_2Yhsn3CDsQwPub4,High,Good,NC,FL_13,46,Male,"White, not of Hispanic origin",51,50,1,1,No,62,67,1,1,No,1,1,1,1,1,1
R_2QWp7iWY2UWtBkI,Low,Good,NC,FL_9,30,Female,"White, not of Hispanic origin",100,100,1,1,No,100,100,1,1,No,1,1,1,1,1,1
R_3fCasDqMoQ8nSzl,High,Bad,Causal,FL_14,23,Female,"White, not of Hispanic origin",63,20,1,1,Yes,50,51,1,1,Not sure,1,1,1,1,0,1
R_3eePc3rDfQ3OmZV,Low,Good,Causal,FL_8,20,Male,Asian/ Pacific Islander,50,50,1,1,Yes,81,49,0,1,Not sure,1,0,0,1,0,1
R_3GrbMe7wFdetuf5,Low,Bad,NC,FL_11,43,Nonbinary,"White, not of Hispanic origin",46,16,1,1,Not sure,98,92,1,1,No,1,1,1,0,1,1
R_3qORVTZfGqvcbXH,Low,Bad,Causal,FL_10,19,Female,"White, not of Hispanic origin",93,100,1,1,Yes,93,99,1,1,No,1,1,1,1,0,1
R_1puqyGec5TTxbZT,High,Bad,NC,FL_15,43,Female,"White, not of Hispanic origin",50,50,1,1,No,87,51,1,1,Yes,1,1,1,1,0,1
R_3ezfoUuhLLmy3Jt,High,Bad,Causal,FL_14,24,Female,Asian/ Pacific Islander,59,47,1,1,No,49,40,1,1,Not sure,1,1,1,0,0,1
R_2eW03GCuoR1gaDk,Low,Bad,NC,FL_11,50,Female,"White, not of Hispanic origin",80,79,1,1,No,91,49,1,1,No,1,1,1,1,1,1
R_3nJ0L4O6baj3zpO,Low,Bad,Causal,FL_10,19,Male,"White, not of Hispanic origin",86,51,1,1,Yes,65,74,0,1,No,1,0,0,1,0,1
R_vc9HUdzOyOtsqZj,High,Good,Causal,FL_12,37,Female,"White, not of Hispanic origin",50,50,1,1,Yes,80,79,1,1,Not sure,1,1,1,1,0,1
R_28Bg5qa5y7LuV6u,Low,Good,NC,FL_9,47,Male,Asian/ Pacific Islander,56,55,1,1,No,62,50,1,1,No,1,1,1,1,1,1
R_C4gl4BiHOU3SOSl,High,Good,Causal,FL_12,67,Male,"White, not of Hispanic origin",68,74,1,1,Not sure,100,95,1,1,Yes,1,1,1,0,1,1
R_2rpiPtIDvVMzMOC,High,Bad,Causal,FL_14,42,Male,"White, not of Hispanic origin",71,82,1,1,No,93,93,1,1,No,1,1,1,0,0,1
R_eJpBuJTqDw1odOh,Low,Bad,NC,FL_11,38,Female,"White, not of Hispanic origin",71,51,1,1,Not sure,65,51,1,1,Not sure,1,1,1,0,0,1
R_6y4JDH5s2WZw8Kt,High,Bad,NC,FL_15,59,Female,"White, not of Hispanic origin",50,51,1,1,No,71,72,1,0,No,1,0,0,1,1,1
R_1Duo8EPkb5E9wZh,Low,Good,Causal,FL_8,21,Male,Black/ African American,54,38,0,1,Yes,66,72,0,0,Yes,0,0,0,1,1,0
R_3JdYR9SdF3kdAIl,Low,Bad,Causal,FL_10,32,Female,"White, not of Hispanic origin",30,85,1,1,No,63,63,1,0,Yes,1,0,0,0,1,1
R_2CTXX56d4MtYLuK,High,Bad,NC,FL_15,30,Female,"White, not of Hispanic origin",57,21,1,1,Not sure,87,82,1,0,No,1,0,0,0,1,1
R_2A06cNIXhgFccoq,High,Good,NC,FL_13,59,Female,Asian/ Pacific Islander,28,48,1,1,Not sure,33,50,1,0,No,1,0,0,0,1,0
R_1pKEuLUPSUyQCIo,Low,Good,NC,FL_9,40,Female,"White, not of Hispanic origin",100,100,1,1,No,100,100,1,1,No,1,1,1,1,1,1
R_3nSIgDsRF7eQfyD,High,Good,Causal,FL_12,41,Male,"White, not of Hispanic origin",71,70,0,0,Not sure,74,71,1,1,Not sure,0,1,0,0,0,1
R_RCaCmzk57dc6dt7,Low,Bad,NC,FL_11,49,Male,"White, not of Hispanic origin",100,100,1,1,Yes,90,73,1,1,No,1,1,1,0,1,1
R_3gNq6ZwcLW96BJz,High,Bad,Causal,FL_14,34,Female,"White, not of Hispanic origin",60,50,0,1,No,100,100,0,1,Not sure,0,0,0,0,0,1
R_3MbM9ULadE9ddqh,Low,Bad,NC,FL_11,54,Female,"White, not of Hispanic origin",100,100,1,1,No,100,100,1,1,No,1,1,1,1,1,1
R_2zH2Gmke28puZ5a,High,Bad,Causal,FL_14,40,Female,Asian/ Pacific Islander,45,38,1,0,Not sure,30,21,1,0,Not sure,0,0,0,0,0,1
R_u98esx61YOew01j,High,Bad,Causal,FL_14,30,Female,"White, not of Hispanic origin",73,73,1,1,Not sure,93,91,1,1,No,1,1,1,0,0,1
R_3hEeomxcvU7PTRX,High,Good,NC,FL_13,28,Male,"White, not of Hispanic origin",53,51,1,1,No,75,60,1,1,No,1,1,1,1,1,1
R_OJv3rtBvqUV7oQx,Low,Bad,Causal,FL_10,64,Female,"White, not of Hispanic origin",100,40,1,1,Yes,81,100,1,1,No,1,1,1,1,0,1
R_3KvlaRYKqRjr593,Low,Good,Causal,FL_8,25,Male,"White, not of Hispanic origin",63,48,1,1,Yes,73,68,1,1,Yes,1,1,1,1,1,1
R_1OI77HyojN5RHXm,High,Bad,NC,FL_15,0,Female,"White, not of Hispanic origin",50,50,1,1,No,39,12,1,1,No,1,1,1,1,1,1
R_1ePOgJvrRVCOxq3,Low,Bad,NC,FL_11,30,Male,Black/ African American,71,11,1,1,No,100,0,1,1,No,1,1,1,1,1,1
R_2XdId9zrVRWVuXu,Low,Good,Causal,FL_8,26,Male,Black/ African American,91,70,1,1,Not sure,100,100,1,1,Not sure,1,1,1,0,0,1
R_1PTRi4lmvoEH51X,High,Good,NC,FL_13,23,Male,"White, not of Hispanic origin",69,72,1,1,Yes,71,64,1,1,Not sure,1,1,1,0,0,1
R_1CDVVa5tvvSCWwA,Low,Good,Causal,FL_8,21,Female,Black/ African American,82,51,1,1,Yes,75,65,1,1,Not sure,1,1,1,1,0,1
R_UXxHzHEWbLYK3C1,Low,Good,NC,FL_9,52,Female,"White, not of Hispanic origin",100,100,1,1,No,91,51,1,1,No,1,1,1,1,1,1
R_2VPTAnwksWxChy2,High,Good,Causal,FL_12,25,Male,Black/ African American,63,82,1,1,Yes,20,26,0,1,Yes,1,0,0,1,1,1
R_5chSZ0afoEuJglz,Low,Bad,Causal,FL_10,58,Male,"White, not of Hispanic origin",80,51,1,1,Not sure,61,4,1,1,No,1,1,1,0,0,1
R_3CAWrhSF3mURdpl,Low,Bad,NC,FL_11,29,Male,Asian/ Pacific Islander,70,51,1,0,No,82,51,0,1,No,0,0,0,1,1,1
R_2YDGoXeMJO1ezlq,High,Bad,NC,FL_15,29,Female,"White, not of Hispanic origin",51,40,1,1,Not sure,100,100,1,1,No,1,1,1,0,1,1
R_2S0tp5ONGPluxqx,Low,Bad,Causal,FL_10,48,Male,"White, not of Hispanic origin",80,81,1,1,Yes,87,33,1,1,No,1,1,1,1,0,1
R_2Tn4FomWCwAfEDj,High,Bad,NC,FL_15,47,Male,"White, not of Hispanic origin",72,51,1,1,No,55,51,1,1,No,1,1,1,1,1,1
R_5cZRHc3BqQFIfDj,Low,Good,NC,FL_9,31,Female,"White, not of Hispanic origin",87,91,1,1,Not sure,87,71,1,1,No,1,1,1,0,1,1
R_3fAAfP4MzTkviO2,High,Good,Causal,FL_12,50,Female,"White, not of Hispanic origin",66,52,1,1,Yes,0,0,1,0,Yes,1,0,0,1,1,0
R_1GOoQHHEyHtKOJ5,Low,Bad,Causal,FL_10,41,Female,Black/ African American,30,8,1,1,Yes,51,19,0,1,No,1,0,0,1,0,1
R_3M3RZPXlZEp2ujY,Low,Good,NC,FL_9,21,Male,"White, not of Hispanic origin",91,100,1,1,No,85,91,0,1,Not sure,1,0,0,1,0,1
R_3MKFgQH1beFO64L,High,Good,NC,FL_13,32,Male,"White, not of Hispanic origin",53,52,1,1,No,31,51,1,1,No,1,1,1,1,1,1
R_3HvrCYFWdjYlOq6,High,Bad,Causal,FL_14,71,Male,"White, not of Hispanic origin",53,9,1,1,Not sure,74,8,1,1,No,1,1,1,0,0,1
R_OI5jE4ZfW6IYnJf,High,Good,Causal,FL_12,42,Male,"White, not of Hispanic origin",50,51,1,1,Not sure,71,58,1,0,Not sure,1,0,0,0,0,0
R_2RU4ennVjUc0tpR,Low,Bad,NC,FL_11,54,Male,"White, not of Hispanic origin",69,48,1,1,No,63,60,0,0,No,1,0,0,1,1,1
R_1QmSTClfeXq0wUJ,High,Bad,Causal,FL_14,68,Male,"White, not of Hispanic origin",50,51,1,1,No,76,67,1,1,No,1,1,1,0,0,1
R_ah3gIBXDCKAF9xn,High,Good,Causal,FL_12,40,Female,"White, not of Hispanic origin",51,52,1,1,Yes,85,86,1,1,No,1,1,1,1,0,1
R_2DOiKokADII5EEY,Low,Good,Causal,FL_8,46,Female,Asian/ Pacific Islander,100,50,1,1,Not sure,50,50,1,1,Yes,1,1,1,0,1,1
R_2OPijLWfbjCm3PI,High,Bad,NC,FL_15,59,Female,Black/ African American,64,62,1,1,No,73,63,1,1,No,1,1,1,1,1,1
R_22KUkvRe7oDcUzp,Low,Bad,NC,FL_11,42,Female,"White, not of Hispanic origin",100,100,1,1,Not sure,81,81,1,1,No,1,1,1,0,1,1
R_exkj6AqvkdD6A7f,High,Good,NC,FL_13,75,Male,"White, not of Hispanic origin",71,29,1,1,No,86,51,1,1,No,1,1,1,1,1,1
R_3oRqCLFNP54kYZI,Low,Good,NC,FL_9,52,Male,Asian/ Pacific Islander,87,91,1,1,No,50,50,0,1,No,1,0,0,1,1,1
R_eG5m2bCqEBjT9Pr,Low,Good,Causal,FL_8,46,Female,"White, not of Hispanic origin",92,61,1,1,Yes,93,72,1,1,No,1,1,1,1,0,1
R_D2KI1V1pvVfJfDr,High,Good,Causal,FL_12,44,Male,Asian/ Pacific Islander,51,51,1,1,Yes,100,100,1,1,No,1,1,1,1,0,1
R_9ow3kuNHGMyJuWR,Low,Good,Causal,FL_8,62,Male,"White, not of Hispanic origin",100,59,1,1,Yes,79,70,0,0,Not sure,1,0,0,1,0,0
R_bEfLgh3dqBuaC7T,Low,Good,Causal,FL_8,31,Male,Asian/ Pacific Islander,50,50,1,1,Yes,49,51,1,1,Not sure,1,1,1,1,0,1
R_PXLwbcP00XURumJ,High,Bad,Causal,FL_14,42,Male,Hispanic,50,30,1,1,Yes,50,41,1,1,No,1,1,1,1,0,1
